path,size,file_label,infer_time
/Users/ryan/Documents/CS/CDAC/official_xtract/sampler_dataset/pub8/CdiacBundles/06AQ/06AQ20131221.tsv,14858955,tabular,2.45029974
/Users/ryan/Documents/CS/CDAC/official_xtract/sampler_dataset/pub8/CdiacBundles/06AQ/06AQ20140309.tsv,6915527,tabular,1.132927656
/Users/ryan/Documents/CS/CDAC/official_xtract/sampler_dataset/pub8/CdiacBundles/06AQ/06AQ20140608.tsv,4409378,tabular,0.757205725
/Users/ryan/Documents/CS/CDAC/official_xtract/sampler_dataset/pub8/CdiacBundles/06AQ/06AQ20140707.tsv,5134266,tabular,0.818406343
/Users/ryan/Documents/CS/CDAC/official_xtract/sampler_dataset/pub8/CdiacBundles/06AQ/06AQ20140805.tsv,11356450,tabular,1.85026145
/Users/ryan/Documents/CS/CDAC/official_xtract/sampler_dataset/pub8/CdiacBundles/06AQ/06AQ20141026.tsv,6634964,tabular,1.100513697
/Users/ryan/Documents/CS/CDAC/official_xtract/sampler_dataset/pub8/CdiacBundles/06AQ/06AQ20141203.tsv,11862119,tabular,2.114348888
/Users/ryan/Documents/CS/CDAC/official_xtract/sampler_dataset/pub8/CdiacBundles/06AQ/06AQ20150519.tsv,5704120,tabular,0.857897282
/Users/ryan/Documents/CS/CDAC/official_xtract/sampler_dataset/pub8/CdiacBundles/06AQ/06AQ20150629.tsv,2940401,tabular,0.481996775
/Users/ryan/Documents/CS/CDAC/official_xtract/sampler_dataset/pub8/CdiacBundles/06AQ/06AQ20150818.tsv,6442882,freetext,50.36858702
/Users/ryan/Documents/CS/CDAC/official_xtract/sampler_dataset/pub8/CdiacBundles/06AQ/06AQ20151030.tsv,4044862,tabular,0.570526838
/Users/ryan/Documents/CS/CDAC/official_xtract/sampler_dataset/pub8/CdiacBundles/06AQ/2013-12 PS82_MAP.png,132676,image,0
/Users/ryan/Documents/CS/CDAC/official_xtract/sampler_dataset/pub8/CdiacBundles/06AQ/2013-12 PS82_METADATA.xls,45056,unknown,0.447813749
/Users/ryan/Documents/CS/CDAC/official_xtract/sampler_dataset/pub8/CdiacBundles/06AQ/2014-03 PS83_MAP.png,131557,image,0
/Users/ryan/Documents/CS/CDAC/official_xtract/sampler_dataset/pub8/CdiacBundles/06AQ/2014-03 PS83_METADATA.xls,44544,unknown,0.456780672
/Users/ryan/Documents/CS/CDAC/official_xtract/sampler_dataset/pub8/CdiacBundles/06AQ/2014-06 PS85_MAP.png,125555,image,0.000932932
/Users/ryan/Documents/CS/CDAC/official_xtract/sampler_dataset/pub8/CdiacBundles/06AQ/2014-06 PS85_METADATA.xls,44544,unknown,0.447844982
/Users/ryan/Documents/CS/CDAC/official_xtract/sampler_dataset/pub8/CdiacBundles/06AQ/2014-07 PS86_MAP.png,125579,image,0
/Users/ryan/Documents/CS/CDAC/official_xtract/sampler_dataset/pub8/CdiacBundles/06AQ/2014-07 PS86_METADATA.xls,44544,unknown,0.441845417
/Users/ryan/Documents/CS/CDAC/official_xtract/sampler_dataset/pub8/CdiacBundles/06AQ/2014-08 PS87_MAP.png,138340,image,0
/Users/ryan/Documents/CS/CDAC/official_xtract/sampler_dataset/pub8/CdiacBundles/06AQ/2014-08 PS87_METADATA.xls,44544,unknown,0.448731184
/Users/ryan/Documents/CS/CDAC/official_xtract/sampler_dataset/pub8/CdiacBundles/06AQ/2014-10 PS88_MAP.png,133306,image,0
/Users/ryan/Documents/CS/CDAC/official_xtract/sampler_dataset/pub8/CdiacBundles/06AQ/2014-10 PS88_METADATA.xls,44544,unknown,0.44381237
/Users/ryan/Documents/CS/CDAC/official_xtract/sampler_dataset/pub8/CdiacBundles/06AQ/2014-11 PS89_MAP.png,132634,image,0
/Users/ryan/Documents/CS/CDAC/official_xtract/sampler_dataset/pub8/CdiacBundles/06AQ/2014-11 PS89_METADATA.xls,45056,unknown,0.445748091
/Users/ryan/Documents/CS/CDAC/official_xtract/sampler_dataset/pub8/CdiacBundles/06AQ/2015-05 PS92_Report-page-1.png,129436,image,0
/Users/ryan/Documents/CS/CDAC/official_xtract/sampler_dataset/pub8/CdiacBundles/06AQ/2015-07 PS93_MAP.png,132134,image,0
/Users/ryan/Documents/CS/CDAC/official_xtract/sampler_dataset/pub8/CdiacBundles/06AQ/2015-08 PS94_MAP.png,141010,image,0
/Users/ryan/Documents/CS/CDAC/official_xtract/sampler_dataset/pub8/CdiacBundles/06AQ/2015-10 PS95_MAP.png,135087,image,0
/Users/ryan/Documents/CS/CDAC/official_xtract/sampler_dataset/pub8/CdiacBundles/06AQ/PI_OME.pdf,12090,freetext,0.266290665
/Users/ryan/Documents/CS/CDAC/official_xtract/sampler_dataset/pub8/CdiacBundles/06AQ/PI_OME.xml,8634,json/xml,0.002030849
/Users/ryan/Documents/CS/CDAC/official_xtract/sampler_dataset/pub8/CdiacBundles/09AR/09AR19951116.tsv,67245,tabular,0.100692272
/Users/ryan/Documents/CS/CDAC/official_xtract/sampler_dataset/pub8/CdiacBundles/09AR/09AR19990205.tsv,46536,tabular,0.085819721
/Users/ryan/Documents/CS/CDAC/official_xtract/sampler_dataset/pub8/CdiacBundles/09AR/09AR20120317.tsv,4177974,tabular,0.545536518
/Users/ryan/Documents/CS/CDAC/official_xtract/sampler_dataset/pub8/CdiacBundles/09AR/09AR20131015.tsv,5025871,tabular,0.645230532
/Users/ryan/Documents/CS/CDAC/official_xtract/sampler_dataset/pub8/CdiacBundles/09AR/09AR20140129.tsv,2054263,freetext,17.67656016
/Users/ryan/Documents/CS/CDAC/official_xtract/sampler_dataset/pub8/CdiacBundles/09AR/09AR20140309.tsv,6551454,freetext,53.20667386
/Users/ryan/Documents/CS/CDAC/official_xtract/sampler_dataset/pub8/CdiacBundles/09AR/09AR20141022.tsv,4050907,freetext,28.55763388
/Users/ryan/Documents/CS/CDAC/official_xtract/sampler_dataset/pub8/CdiacBundles/09AR/09AR20141205.tsv,7652164,freetext,66.50865078
/Users/ryan/Documents/CS/CDAC/official_xtract/sampler_dataset/pub8/CdiacBundles/09AR/AA_2012.jpg,189497,image,0
/Users/ryan/Documents/CS/CDAC/official_xtract/sampler_dataset/pub8/CdiacBundles/09AR/AA_2012_077-104_1112V5_metadata.xls,30720,freetext,0.420908689
/Users/ryan/Documents/CS/CDAC/official_xtract/sampler_dataset/pub8/CdiacBundles/09AR/AA_2013_288-340_V1 fCO2 IMOS REPORT.doc,141312,freetext,2.366678715
/Users/ryan/Documents/CS/CDAC/official_xtract/sampler_dataset/pub8/CdiacBundles/09AR/AA_2014_029-059_V4 fCO2 IMOS REPORT.doc,142336,freetext,2.223014593
/Users/ryan/Documents/CS/CDAC/official_xtract/sampler_dataset/pub8/CdiacBundles/09AR/AA_2014_068-109_V6 fCO2 IMOS REPORT.doc,144896,freetext,2.430499077
/Users/ryan/Documents/CS/CDAC/official_xtract/sampler_dataset/pub8/CdiacBundles/09AR/OCEAN Mercury Metadata Aurora_Australis_AA_2012_077-104.pdf,116101,freetext,0.777920008
/Users/ryan/Documents/CS/CDAC/official_xtract/sampler_dataset/pub8/CdiacBundles/09AR/OCEAN Mercury Metadata Aurora_Australis_Lines_1992-2001.pdf,113766,freetext,0.613362074
/Users/ryan/Documents/CS/CDAC/official_xtract/sampler_dataset/pub8/CdiacBundles/09AR/PI_OME.pdf,16045,freetext,0.781962156
/Users/ryan/Documents/CS/CDAC/official_xtract/sampler_dataset/pub8/CdiacBundles/09AR/PI_OME.xml,15537,json/xml,0.002991438
/Users/ryan/Documents/CS/CDAC/official_xtract/sampler_dataset/pub8/CdiacBundles/09AR/README,447,freetext,0.011968374
/Users/ryan/Documents/CS/CDAC/official_xtract/sampler_dataset/pub8/CdiacBundles/09FA/09FA19901002.tsv,301725,tabular,0.066821814
/Users/ryan/Documents/CS/CDAC/official_xtract/sampler_dataset/pub8/CdiacBundles/09FA/09FA19931108.tsv,111806,tabular,0.048868656
/Users/ryan/Documents/CS/CDAC/official_xtract/sampler_dataset/pub8/CdiacBundles/09FA/09FA19931120.tsv,96651,tabular,0.043887377
/Users/ryan/Documents/CS/CDAC/official_xtract/sampler_dataset/pub8/CdiacBundles/09FA/FR0893_southbound_pH_and_pCO2_method.pdf,11171,freetext,0.314154863
/Users/ryan/Documents/CS/CDAC/official_xtract/sampler_dataset/pub8/CdiacBundles/09FA/FR08_90.pdf,236096,freetext,0.346075296
/Users/ryan/Documents/CS/CDAC/official_xtract/sampler_dataset/pub8/CdiacBundles/09FA/FR08_90_pH_and_pCO2_method.pdf,11171,freetext,0.343081951
/Users/ryan/Documents/CS/CDAC/official_xtract/sampler_dataset/pub8/CdiacBundles/09FA/FR08_93_northbound.pdf,226601,freetext,0.32916069
/Users/ryan/Documents/CS/CDAC/official_xtract/sampler_dataset/pub8/CdiacBundles/09FA/FR08_93_northbound_pH_and_pCO2_method.pdf,11171,freetext,0.460726023
/Users/ryan/Documents/CS/CDAC/official_xtract/sampler_dataset/pub8/CdiacBundles/09FA/FR08_93_southbound.pdf,227972,freetext,0.360082626
/Users/ryan/Documents/CS/CDAC/official_xtract/sampler_dataset/pub8/CdiacBundles/09FS/09FS20091009.tsv,229178,tabular,0.150598288
/Users/ryan/Documents/CS/CDAC/official_xtract/sampler_dataset/pub8/CdiacBundles/09FS/09FS20091009_heron_1.pdf,563741,freetext,1.088100433
/Users/ryan/Documents/CS/CDAC/official_xtract/sampler_dataset/pub8/CdiacBundles/09FS/09FS20100421.tsv,180198,freetext,2.086408854
/Users/ryan/Documents/CS/CDAC/official_xtract/sampler_dataset/pub8/CdiacBundles/09FS/09FS20100421_heron_2.pdf,603210,freetext,0.737029552
/Users/ryan/Documents/CS/CDAC/official_xtract/sampler_dataset/pub8/CdiacBundles/09FS/09FS20100908.tsv,354580,freetext,4.694446325
/Users/ryan/Documents/CS/CDAC/official_xtract/sampler_dataset/pub8/CdiacBundles/09FS/09FS20100908_heron_3.pdf,600889,freetext,0.995342255
/Users/ryan/Documents/CS/CDAC/official_xtract/sampler_dataset/pub8/CdiacBundles/09FS/09FS20110311.tsv,316212,tabular,0.148599148
/Users/ryan/Documents/CS/CDAC/official_xtract/sampler_dataset/pub8/CdiacBundles/09FS/09FS20110311_heron_4.pdf,584944,freetext,1.030287266
/Users/ryan/Documents/CS/CDAC/official_xtract/sampler_dataset/pub8/CdiacBundles/09FS/PI_OME.pdf,16752,freetext,0.656203508
/Users/ryan/Documents/CS/CDAC/official_xtract/sampler_dataset/pub8/CdiacBundles/09FS/PI_OME.xml,16953,json/xml,0.002992392
/Users/ryan/Documents/CS/CDAC/official_xtract/sampler_dataset/pub8/CdiacBundles/18QA/18QA19760805.tsv,22738,tabular,0.07480073
/Users/ryan/Documents/CS/CDAC/official_xtract/sampler_dataset/pub8/CdiacBundles/18QA/18QA19761023.tsv,24176,tabular,0.083775759
/Users/ryan/Documents/CS/CDAC/official_xtract/sampler_dataset/pub8/CdiacBundles/18QA/18QA19770326.tsv,87761,tabular,0.0718081
/Users/ryan/Documents/CS/CDAC/official_xtract/sampler_dataset/pub8/CdiacBundles/18QA/18QA19770621.tsv,23342,tabular,0.082778454
/Users/ryan/Documents/CS/CDAC/official_xtract/sampler_dataset/pub8/CdiacBundles/18QA/18QA19790727.tsv,77670,tabular,0.101727486
/Users/ryan/Documents/CS/CDAC/official_xtract/sampler_dataset/pub8/CdiacBundles/18QA/1991_Wong_Chang_Tellus.pdf,1313046,unknown,0.15558362
/Users/ryan/Documents/CS/CDAC/official_xtract/sampler_dataset/pub8/CdiacBundles/18QA/2010_Wong_et_al_DSR1.pdf,3208539,freetext,25.09290814
/Users/ryan/Documents/CS/CDAC/official_xtract/sampler_dataset/pub8/CdiacBundles/18QA/OCEAN Mercury Metadata Station P.pdf,45481,freetext,0.312165022
/Users/ryan/Documents/CS/CDAC/official_xtract/sampler_dataset/pub8/CdiacBundles/18VC/18VC19770108.tsv,23838,tabular,0.108752728
/Users/ryan/Documents/CS/CDAC/official_xtract/sampler_dataset/pub8/CdiacBundles/18VC/18VC19770910.tsv,79160,tabular,0.109662294
